TOSHKENT
2	Payshanba	19 Fevral 2026	05:54	18:03
3	Juma	20 Fevral 2026	05:53	18:04
4	Shanba	21 Fevral 2026	05:52	18:06
5	Yakshanba	22 Fevral 2026	05:50	18:07
6	Dushanba	23 Fevral 2026	05:49	18:08
7	Seshanba	24 Fevral 2026	05:47	18:09
8	Chorshanba	25 Fevral 2026	05:46	18:10
9	Payshanba	26 Fevral 2026	05:45	18:12
10	Juma	27 Fevral 2026	05:43	18:13
11	Shanba	28 Fevral 2026	05:42	18:14
12	Yakshanba	1 Mart 2026	05:40	18:15
13	Dushanba	2 Mart 2026	05:39	18:16
14	Seshanba	3 Mart 2026	05:37	18:17
15	Chorshanba	4 Mart 2026	05:35	18:19
16	Payshanba	5 Mart 2026	05:34	18:20
17	Juma	6 Mart 2026	05:32	18:21
18	Shanba	7 Mart 2026	05:31	18:22
19	Yakshanba	8 Mart 2026	05:29	18:23
20	Dushanba	9 Mart 2026	05:27	18:24
21	Seshanba	10 Mart 2026	05:26	18:25
22	Chorshanba	11 Mart 2026	05:24	18:27
23	Payshanba	12 Mart 2026	05:22	18:28
24	Juma	13 Mart 2026	05:21	18:29
25	Shanba	14 Mart 2026	05:19	18:30
26	Yakshanba	15 Mart 2026	05:17	18:31
27	Dushanba	16 Mart 2026	05:15	18:32
28	Seshanba	17 Mart 2026	05:14	18:33
29	Chorshanba	18 Mart 2026	05:12	18:34
30	Payshanba	19 Mart 2026	05:10	18:35
1	Juma	20 Mart 2026	05:08	18:37




BUXORO
2	Payshanba	19 Fevral 2026	06:12	18:26
3	Juma	20 Fevral 2026	06:11	18:26
4	Shanba	21 Fevral 2026	06:10	18:28
5	Yakshanba	22 Fevral 2026	06:08	18:29
6	Dushanba	23 Fevral 2026	06:07	18:30
7	Seshanba	24 Fevral 2026	06:05	18:31
8	Chorshanba	25 Fevral 2026	06:04	18:32
9	Payshanba	26 Fevral 2026	06:03	18:34
10	Juma	27 Fevral 2026	06:01	18:35
11	Shanba	28 Fevral 2026	06:01	18:36
12	Yakshanba	1 Mart 2026	05:59	18:37
13	Dushanba	2 Mart 2026	05:58	18:38
14	Seshanba	3 Mart 2026	05:56	18:39
15	Chorshanba	4 Mart 2026	05:54	18:41
16	Payshanba	5 Mart 2026	05:53	18:42
17	Juma	6 Mart 2026	05:51	18:43
18	Shanba	7 Mart 2026	05:50	18:44
19	Yakshanba	8 Mart 2026	05:48	18:45
20	Dushanba	9 Mart 2026	05:46	18:46
21	Seshanba	10 Mart 2026	05:45	18:46
22	Chorshanba	11 Mart 2026	05:43	18:48
23	Payshanba	12 Mart 2026	05:41	18:49
24	Juma	13 Mart 2026	05:40	18:50
25	Shanba	14 Mart 2026	05:38	18:51
26	Yakshanba	15 Mart 2026	05:36	18:52
27	Dushanba	16 Mart 2026	05:34	18:53
28	Seshanba	17 Mart 2026	05:33	18:54
29	Chorshanba	18 Mart 2026	05:31	18:55
30	Payshanba	19 Mart 2026	05:29	18:56
1	Juma	20 Mart 2026	05:28	18:58


FARG'ONA


2	Payshanba	19 Fevral 2026	05:44	17:55
3	Juma	20 Fevral 2026	05:43	17:56
4	Shanba	21 Fevral 2026	05:42	17:58
5	Yakshanba	22 Fevral 2026	05:40	17:59
6	Dushanba	23 Fevral 2026	05:39	18:00
7	Seshanba	24 Fevral 2026	05:37	18:01
8	Chorshanba	25 Fevral 2026	05:36	18:02
9	Payshanba	26 Fevral 2026	05:35	18:04
10	Juma	27 Fevral 2026	05:33	18:05
11	Shanba	28 Fevral 2026	05:32	18:06
12	Yakshanba	1 Mart 2026	05:30	18:07
13	Dushanba	2 Mart 2026	05:29	18:08
14	Seshanba	3 Mart 2026	05:27	18:09
15	Chorshanba	4 Mart 2026	05:25	18:11
16	Payshanba	5 Mart 2026	05:24	18:12
17	Juma	6 Mart 2026	05:22	18:13
18	Shanba	7 Mart 2026	05:21	18:14
19	Yakshanba	8 Mart 2026	05:19	18:15
20	Dushanba	9 Mart 2026	05:17	18:16
21	Seshanba	10 Mart 2026	05:16	18:16
22	Chorshanba	11 Mart 2026	05:14	18:18
23	Payshanba	12 Mart 2026	05:12	18:19
24	Juma	13 Mart 2026	05:11	18:20
25	Shanba	14 Mart 2026	05:09	18:21
26	Yakshanba	15 Mart 2026	05:07	18:22
27	Dushanba	16 Mart 2026	05:05	18:23
28	Seshanba	17 Mart 2026	05:04	18:24
29	Chorshanba	18 Mart 2026	05:02	18:25
30	Payshanba	19 Mart 2026	05:00	18:26
1	Juma	20 Mart 2026	04:58	18:28


SIRDARYO


2	Payshanba	19 Fevral 2026	05:56	18:07
3	Juma	20 Fevral 2026	05:55	18:08
4	Shanba	21 Fevral 2026	05:54	18:10
5	Yakshanba	22 Fevral 2026	05:52	18:11
6	Dushanba	23 Fevral 2026	05:51	18:12
7	Seshanba	24 Fevral 2026	05:49	18:13
8	Chorshanba	25 Fevral 2026	05:48	18:14
9	Payshanba	26 Fevral 2026	05:47	18:16
10	Juma	27 Fevral 2026	05:45	18:17
11	Shanba	28 Fevral 2026	05:44	18:18
12	Yakshanba	1 Mart 2026	05:42	18:19
13	Dushanba	2 Mart 2026	05:41	18:20
14	Seshanba	3 Mart 2026	05:39	18:21
15	Chorshanba	4 Mart 2026	05:37	18:23
16	Payshanba	5 Mart 2026	05:36	18:24
17	Juma	6 Mart 2026	05:34	18:25
18	Shanba	7 Mart 2026	05:33	18:26
19	Yakshanba	8 Mart 2026	05:31	18:27
20	Dushanba	9 Mart 2026	05:29	18:28
21	Seshanba	10 Mart 2026	05:28	18:28
22	Chorshanba	11 Mart 2026	05:26	18:30
23	Payshanba	12 Mart 2026	05:24	18:31
24	Juma	13 Mart 2026	05:23	18:32
25	Shanba	14 Mart 2026	05:21	18:33
26	Yakshanba	15 Mart 2026	05:19	18:34
27	Dushanba	16 Mart 2026	05:17	18:35
28	Seshanba	17 Mart 2026	05:16	18:36
29	Chorshanba	18 Mart 2026	05:14	18:37
30	Payshanba	19 Mart 2026	05:12	18:38
1	Juma	20 Mart 2026	05:10	18:40


JIZZAX

2	Payshanba	19 Fevral 2026	05:59	18:12
3	Juma	20 Fevral 2026	05:58	18:12
4	Shanba	21 Fevral 2026	05:57	18:14
5	Yakshanba	22 Fevral 2026	05:55	18:15
6	Dushanba	23 Fevral 2026	05:54	18:16
7	Seshanba	24 Fevral 2026	05:52	18:17
8	Chorshanba	25 Fevral 2026	05:51	18:18
9	Payshanba	26 Fevral 2026	05:50	18:20
10	Juma	27 Fevral 2026	05:48	18:21
11	Shanba	28 Fevral 2026	05:47	18:22
12	Yakshanba	1 Mart 2026	05:45	18:23
13	Dushanba	2 Mart 2026	05:44	18:24
14	Seshanba	3 Mart 2026	05:42	18:25
15	Chorshanba	4 Mart 2026	05:40	18:27
16	Payshanba	5 Mart 2026	05:39	18:28
17	Juma	6 Mart 2026	05:37	18:29
18	Shanba	7 Mart 2026	05:36	18:30
19	Yakshanba	8 Mart 2026	05:34	18:31
20	Dushanba	9 Mart 2026	05:32	18:32
21	Seshanba	10 Mart 2026	05:31	18:32
22	Chorshanba	11 Mart 2026	05:29	18:34
23	Payshanba	12 Mart 2026	05:27	18:35
24	Juma	13 Mart 2026	05:26	18:36
25	Shanba	14 Mart 2026	05:24	18:37
26	Yakshanba	15 Mart 2026	05:22	18:38
27	Dushanba	16 Mart 2026	05:20	18:39
28	Seshanba	17 Mart 2026	05:19	18:40
29	Chorshanba	18 Mart 2026	05:17	18:41
30	Payshanba	19 Mart 2026	05:15	18:42
1	Juma	20 Mart 2026	05:14	18:44


NAVOIY
2	Payshanba	19 Fevral 2026	06:09	18:22
3	Juma	20 Fevral 2026	06:08	18:22
4	Shanba	21 Fevral 2026	06:07	18:24
5	Yakshanba	22 Fevral 2026	06:05	18:25
6	Dushanba	23 Fevral 2026	06:04	18:26
7	Seshanba	24 Fevral 2026	06:02	18:27
8	Chorshanba	25 Fevral 2026	06:01	18:28
9	Payshanba	26 Fevral 2026	06:00	18:30
10	Juma	27 Fevral 2026	05:58	18:31
11	Shanba	28 Fevral 2026	05:57	18:32
12	Yakshanba	1 Mart 2026	05:55	18:33
13	Dushanba	2 Mart 2026	05:54	18:34
14	Seshanba	3 Mart 2026	05:52	18:35
15	Chorshanba	4 Mart 2026	05:50	18:37
16	Payshanba	5 Mart 2026	05:49	18:38
17	Juma	6 Mart 2026	05:47	18:39
18	Shanba	7 Mart 2026	05:46	18:40
19	Yakshanba	8 Mart 2026	05:44	18:41
20	Dushanba	9 Mart 2026	05:42	18:42
21	Seshanba	10 Mart 2026	05:41	18:42
22	Chorshanba	11 Mart 2026	05:39	18:44
23	Payshanba	12 Mart 2026	05:37	18:45
24	Juma	13 Mart 2026	05:36	18:46
25	Shanba	14 Mart 2026	05:34	18:47
26	Yakshanba	15 Mart 2026	05:32	18:48
27	Dushanba	16 Mart 2026	05:30	18:49
28	Seshanba	17 Mart 2026	05:29	18:50
29	Chorshanba	18 Mart 2026	05:27	18:51
30	Payshanba	19 Mart 2026	05:25	18:52
1	Juma	20 Mart 2026	05:24	18:54


NAMANGAN



2	Payshanba	19 Fevral 2026	05:44	17:54
3	Juma	20 Fevral 2026	05:43	17:55
4	Shanba	21 Fevral 2026	05:42	17:57
5	Yakshanba	22 Fevral 2026	05:40	17:58
6	Dushanba	23 Fevral 2026	05:39	17:59
7	Seshanba	24 Fevral 2026	05:37	18:00
8	Chorshanba	25 Fevral 2026	05:36	18:01
9	Payshanba	26 Fevral 2026	05:35	18:03
10	Juma	27 Fevral 2026	05:33	18:04
11	Shanba	28 Fevral 2026	05:32	18:05
12	Yakshanba	1 Mart 2026	05:30	18:06
13	Dushanba	2 Mart 2026	05:29	18:07
14	Seshanba	3 Mart 2026	05:27	18:08
15	Chorshanba	4 Mart 2026	05:25	18:10
16	Payshanba	5 Mart 2026	05:24	18:11
17	Juma	6 Mart 2026	05:22	18:12
18	Shanba	7 Mart 2026	05:21	18:13
19	Yakshanba	8 Mart 2026	05:19	18:14
20	Dushanba	9 Mart 2026	05:17	18:15
